Input.Number	Input.Sentence	Answer.relations	Answer.if_single_relation	Answer.if_positive_agg	Answer.if_negative_agg	Answer.relationtype
101	methane is human contributions to nitrous oxide	[[{'concept1': 'human', 'relation': 'contribute to', 'concept2': 'nitrous oxide', 'relationtype': 'positive'}], [{'concept1': 'methane', 'relation': 'is humans contributions to', 'concept2': 'nitrous oxide', 'relationtype': 'positive'}], [{'concept1': 'methane', 'relation': 'human contributions', 'concept2': 'nitrous oxide', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
110	more humans are gon na help us save water and reduce carbon emission	[[{'concept1': 'more humans', 'relation': 'save', 'concept2': 'water', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'save', 'concept2': 'water', 'relationtype': 'positive'}, {'concept1': 'humans', 'relation': 'reduce', 'concept2': 'carbon emission', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'save', 'concept2': 'water', 'relationtype': 'positive'}, {'concept1': 'humans', 'relation': 'reduce', 'concept2': 'carbon emission', 'relationtype': 'negative'}]]	0	1	1	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
121	humans emit lot 's of co2 in round 1	[[{'concept1': 'humans', 'relation': "lot 's of", 'concept2': 'co2', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'emit', 'concept2': 'co2', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'emit', 'concept2': 'co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
134	human created co2 emissions are roughly 22 million tons a day	[[{'concept1': 'human', 'relation': 'create', 'concept2': 'co2 emissions', 'relationtype': 'positive'}], [{'concept1': 'human', 'relation': 'created', 'concept2': '22 million tons a day', 'relationtype': 'positive'}], [{'concept1': 'human', 'relation': 'created', 'concept2': 'co2 emissions', 'relationtype': 'negative'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
140	the universe makes possible carbon based lifeforms such as humans	[[{'concept1': 'universe', 'relation': 'makes possible', 'concept2': 'lifeforms', 'relationtype': 'positive'}], [{'concept1': 'the universe', 'relation': 'makes possible', 'concept2': 'carbon based lifeforms', 'relationtype': 'positive'}], [{'concept1': 'the universe', 'relation': 'makes possible', 'concept2': 'carbon based lifeforms such as humans', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
147	presidential term limits ( us ) science is a major threat to human existence women are tools for cleaning & cooking , and for pumping out babies shold we spend money to plant 100 billion trees to offset carbon immissions	[[{'concept1': 'science', 'relation': 'is a major threat to', 'concept2': 'human existence', 'relationtype': 'negative'}], [{'concept1': 'science', 'relation': 'threat', 'concept2': 'human existence', 'relationtype': 'negative'}], nan]	1	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 1, 'agg': 1}}
173	the co2 was released by the burning of other human activities	[[{'concept1': 'co2', 'relation': 'released by the burning', 'concept2': 'human activities', 'relationtype': 'negative'}], [{'concept1': 'co2', 'relation': 'released', 'concept2': 'human activites', 'relationtype': 'positive'}], nan]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
176	humans have increased atmospheric c02 emissions	[[{'concept1': 'humans', 'relation': 'increased', 'concept2': 'emissions', 'relationtype': 'positive'}], [{'concept1': 'Humans', 'relation': 'Increase', 'concept2': 'c02 emissions', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'increased', 'concept2': 'atmospheric c02 emissions', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
178	the data provides a direct , empirical causal link between co2 and global warming finally , humans have caused the recent global warming	[[{'concept1': 'humans', 'relation': 'caused', 'concept2': 'recent global warming', 'relationtype': 'positive'}, {'concept1': 'co2', 'relation': 'causal link', 'concept2': 'global warming', 'relationtype': 'positive'}], [{'concept1': 'co2', 'relation': 'cause', 'concept2': 'global warming', 'relationtype': 'positive'}, {'concept1': 'humans', 'relation': 'cause', 'concept2': 'global warming', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'caused', 'concept2': 'recent global warming', 'relationtype': 'positive'}, {'concept1': 'co2', 'relation': 'causal link', 'concept2': 'global warming', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 2, 'max': 2, 'agg': 2}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
194	humans produce methane	[[{'concept1': 'humans', 'relation': 'produce', 'concept2': 'methane', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce', 'concept2': 'methane', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce', 'concept2': 'methane', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
195	humans produce , while think of the net effect , the most co2	[[{'concept1': 'humans', 'relation': 'produce', 'concept2': 'co2', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce', 'concept2': 'co2', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce the most', 'concept2': 'co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
197	humans our have increased the amount of carbon	[[{'concept1': 'humans', 'relation': 'increased', 'concept2': 'carbon', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'increase', 'concept2': 'carbon', 'relationtype': 'positive'}], [{'concept1': 'Humans', 'relation': 'Increased', 'concept2': 'Amount of carbon', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
211	humans produce very little emissions	[[{'concept1': 'humans', 'relation': 'produce', 'concept2': 'very little emissions', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce', 'concept2': 'very little emissions', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'produce', 'concept2': 'emissions', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
216	the average human in a developed country such as the uk will produce metric tonnes of co2 waste per year	[nan, [{'concept1': 'average human', 'relation': 'produce', 'concept2': 'co2 waste', 'relationtype': 'positive'}], [{'concept1': 'human', 'relation': 'produce', 'concept2': 'metric tonnes', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
218	greenhouse gases were produced by human activities such as the burning of fossil fuels and deforestation	[[{'concept1': 'greenhouse gases', 'relation': 'were produced', 'concept2': 'by human activities', 'relationtype': 'negative'}], [{'concept1': 'burning of fossil fuels', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}, {'concept1': 'deforestation', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 0, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
219	greenhouse gases were produced by human activities such as deforestation	[[{'concept1': 'human activities', 'relation': 'produce', 'concept2': 'deforestation', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'produced by', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'activities', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}, {'concept1': 'deforestation', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
220	humans put out at least 90 times more co2	[[{'concept1': 'Humans', 'relation': 'Put out', 'concept2': 'More co2', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'put out', 'concept2': '90 times more co2', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'put out', 'concept2': 'co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
223	greenhouse gases were produced by human activities	[[{'concept1': 'human activities', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'greenhouse gases', 'relation': 'produced', 'concept2': 'human activities', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'produced', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
226	if this is not enough , then the opponent would be satisfied in knowing that humans also release an excessive quantity of methane ; albeit methane does not linger as long as co2 , methane short term effects on the environment are devastating	[[{'concept1': 'knowing that humans also release an excessive quantity of methane', 'relation': 'satisfied', 'concept2': 'opponent', 'relationtype': 'positive'}, {'concept1': 'methane short term effects', 'relation': 'devastating', 'concept2': 'environment', 'relationtype': 'negative'}], [{'concept1': 'Humans', 'relation': 'release', 'concept2': 'Methane', 'relationtype': 'positive'}], [{'concept1': 'methane', 'relation': 'devastating', 'concept2': 'short term effects on the environment', 'relationtype': 'negative'}]]	0	1	1	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
227	humans pump tons of co2	[[{'concept1': 'humans', 'relation': 'pump', 'concept2': 'tons of CO2', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'pump', 'concept2': 'tons', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'pump', 'concept2': 'tons of co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
233	about 3/4 of human made carbon dioxide emissions were from burning fossil fuels	[[{'concept1': 'burning fossil fuels', 'relation': 'made', 'concept2': 'carbon dioxide emissions', 'relationtype': 'positive'}], [{'concept1': 'emissions', 'relation': 'were from', 'concept2': 'burning fossil fuels', 'relationtype': 'positive'}], [{'concept1': 'fossil fuels', 'relation': 'cause', 'concept2': 'carbon dioxide emissions', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
242	a greenhouse effect can eventually make the human race extinct	[[{'concept1': 'greenhouse effect', 'relation': 'extinct', 'concept2': 'human race', 'relationtype': 'negative'}], [{'concept1': 'greenhouse effect', 'relation': 'can eventually', 'concept2': 'human race extinct', 'relationtype': 'positive'}], [{'concept1': 'greenhouse effect', 'relation': 'can eventually make', 'concept2': 'human race extinct', 'relationtype': 'negative'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
258	climate change am assuming that climate change will be arguing that humans are a major cause to global warming increases with c02 first point , is that c02 emissions are scientifically proven to be a mjor leading cause in the rise of global climate changes	[[{'concept1': 'c02 emissions', 'relation': 'rise', 'concept2': 'global climate changes', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'increases', 'concept2': 'global warming', 'relationtype': 'positive'}, {'concept1': 'c02 emissions', 'relation': 'rise', 'concept2': 'global climate changes', 'relationtype': 'positive'}], []]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
278	solar activity from 1900 to 1950 raised the temperature of the the earth 's degrees at the effect of co2 emissions over that same period , humans were giving a range of values of 0 degrees c for the effect of that emission on the climate	[[{'concept1': 'solar activity from 1900 to 1950', 'relation': 'raised the temperature', 'concept2': "of the the earth 's degrees", 'relationtype': 'positive'}], [{'concept1': 'solar activity from 1900 to 1950', 'relation': 'raised', 'concept2': "the temperature of the earth's degrees", 'relationtype': 'positive'}], [{'concept1': 'solar activity from 1900 to 1950', 'relation': 'raised', 'concept2': "temperature of the the earth 's degrees", 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
282	the elevated levels especially of carbon dioxide and methane are directly related to human activities such as the deforestation of tropical forests	[nan, [{'concept1': 'human activities', 'relation': 'elevated levels', 'concept2': 'carbon dioxide and methane', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'cause', 'concept2': 'elevated levels of carbon dioxide and methane', 'relationtype': 'positive'}, {'concept1': 'deforestation of tropical forests', 'relation': 'causes', 'concept2': 'elevated levels of carbon dioxide and methane', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
293	the greenhouse effect 's cause warmth , but whether the greenhouse effect 's human contributions cause the warming of the earth	[[{'concept1': 'greenhouse', 'relation': 'cause', 'concept2': 'warmth', 'relationtype': 'negative'}], [{'concept1': 'greenhouse effect', 'relation': 'cause', 'concept2': 'warmth', 'relationtype': 'positive'}], []]	1	0	0	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
294	human activities are altering the earth 's carbon cycle both by adding more co2 to the atmosphere and by influencing the ability of natural sinks to remove co2 from the atmosphere	[[{'concept1': 'human activities', 'relation': 'altering', 'concept2': "earth 's carbon cycle", 'relationtype': 'negative'}], [{'concept1': 'Humans', 'relation': 'activities produced', 'concept2': 'atmosphere', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'altering', 'concept2': "earth 's carbon cycle", 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
298	human activities are now causing atmospheric concentrations of greenhouse gases including tropospheric ozone well above pre industrial levels	[[{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'atmospheric concentrations of greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'atmospheric concentrations of greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'atmospheric concentrations of greenhouse gases including tropospheric ozone well above pre industrial levels', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
304	human activities are now causing atmospheric concentrations of greenhouse gases including methane well above pre industrial levels	[[{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'atmospheric concentrations of greenhouse gases including methane well above pre industrial levels', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'atmospheric concentrations', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}, {'concept1': 'human activities', 'relation': 'atmospheric concentrations', 'concept2': 'methane well above pre industrial levels', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'concentrations of greenhouse gases', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
307	at least some of the increasing co2 trend is due to humans	[[{'concept1': 'humans', 'relation': 'increasing', 'concept2': 'co2 trend', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'increasing', 'concept2': 'co2 trend', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
312	human activities are now causing atmospheric concentrations of greenhouse gases including carbon dioxide well above pre industrial levels	[[{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'concentrations', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'causing', 'concept2': 'atmospheric concentrations of greenhouse gases', 'relationtype': 'positive'}], [{'concept1': 'human activities', 'relation': 'cause', 'concept2': 'greenhouse gases', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
319	humans are increasing co2 levels	[[{'concept1': 'humans', 'relation': 'increasing', 'concept2': 'co2 levels', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'are increasing', 'concept2': 'co2 levels', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'increasing', 'concept2': 'levels', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
321	humans contribute a very , very small amount of carbon	[[{'concept1': 'humans', 'relation': 'contribute', 'concept2': 'carbon', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'contribute', 'concept2': 'amount', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'contribute', 'concept2': 'carbon', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
328	humans are destroying the main apparatus of co2 absorption	[[{'concept1': 'humans', 'relation': 'destroying', 'concept2': 'the main apparatus of co2 absorption', 'relationtype': 'negative'}], [{'concept1': 'humans', 'relation': 'destroy', 'concept2': 'co2 absorption', 'relationtype': 'negative'}], [{'concept1': 'humans are destroying', 'relation': 'are destroying', 'concept2': 'main apparatus of co2 absorption', 'relationtype': 'positive'}]]	1	0	1	{'positive': {'min': 0, 'max': 1, 'agg': 0}, 'negative': {'min': 0, 'max': 1, 'agg': 1}}
333	us believe that global warming is being sped up by human activity and an excessive concentration of greenhouse gases	[[{'concept1': 'global warming', 'relation': 'sped up by', 'concept2': 'an excessive concentration of greenhouse gases', 'relationtype': 'positive'}, {'concept1': 'global warming', 'relation': 'sped up by', 'concept2': 'human activity', 'relationtype': 'positive'}], [], [{'concept1': 'global warming', 'relation': 'sped up', 'concept2': 'human activity', 'relationtype': 'positive'}, {'concept1': 'global warming', 'relation': 'sped up', 'concept2': 'excessive concentration of greenhouse gases', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 2, 'max': 2, 'agg': 2}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
335	( state of fear harpercollinspublishers ) the conclusion that global warming is mainly caused by human activity and will continue if greenhouse gas emissions are not reduced has been endorsed by at least 30 scientific societies	[[{'concept1': 'global warming', 'relation': 'caused by', 'concept2': 'human activity', 'relationtype': 'positive'}], [{'concept1': 'human activity', 'relation': 'caused', 'concept2': 'global warming', 'relationtype': 'positive'}], [{'concept1': 'global warming', 'relation': 'caused', 'concept2': 'human acitivity', 'relationtype': 'positive'}, {'concept1': 'greenhouse gas emissions', 'relation': 'reduced', 'concept2': 'scientific societies', 'relationtype': 'negative'}]]	0	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
341	volcano produce co2 more than humans	[[{'concept1': 'volcano', 'relation': 'produce', 'concept2': 'co2', 'relationtype': 'positive'}], [{'concept1': 'volcano', 'relation': 'produce', 'concept2': 'co2', 'relationtype': 'positive'}], [{'concept1': 'volcano', 'relation': 'produce', 'concept2': 'co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
346	( repost ) 2 ) many of the many articles and papers , found by the science magazine , assert that humans are the main cause of the sudden increase in co2 levels , and therefore causing global warming	[[{'concept1': 'humans', 'relation': 'cause', 'concept2': 'sudden increase in co2 level', 'relationtype': 'positive'}], [], [{'concept1': 'humans', 'relation': 'cause', 'concept2': 'increase in co2 levels', 'relationtype': 'positive'}, {'concept1': 'increase in co2 levels', 'relation': 'cause', 'concept2': 'global warming', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
