Input.Number	Input.Sentence	Answer.detect	Answer.detect_agg
312	human activities are now causing atmospheric concentrations of greenhouse gases including carbon dioxide well above pre industrial levels	['Relation', 'Relation', 'Relation']	Relation
319	humans are increasing co2 levels	['Relation', 'Relation', 'Relation']	Relation
321	humans contribute a very , very small amount of carbon	['Relation', 'Relation', 'Relation']	Relation
328	humans are destroying the main apparatus of co2 absorption	['Relation', 'Relation', 'Relation']	Relation
330	b ) human emissions and global warming	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
333	us believe that global warming is being sped up by human activity and an excessive concentration of greenhouse gases	['Relation', 'Relation', 'Relation']	Relation
335	( state of fear harpercollinspublishers ) the conclusion that global warming is mainly caused by human activity and will continue if greenhouse gas emissions are not reduced has been endorsed by at least 30 scientific societies	['Relation', 'Relation', 'Relation']	Relation
341	volcano produce co2 more than humans	['Relation', 'Relation', 'Relation']	Relation
346	( repost ) 2 ) many of the many articles and papers , found by the science magazine , assert that humans are the main cause of the sudden increase in co2 levels , and therefore causing global warming	['Relation', 'Relation', 'Relation']	Relation
350	humans are increasing the levels of carbon in the atmosphere 4	['Relation', 'Relation', 'Relation']	Relation
353	( state of fear harpercollinspublishers ) the conclusion that global warming is mainly caused by human activity and will continue if greenhouse gas emissions are not reduced has been endorsed by academies of science	['Relation', 'NoRelation', 'Relation']	Relation
356	i will attempt to prove that the reason for an abundance of greenhouse gases in as a result increased global temperatures is a result of human actions	['NoisySentence', 'Relation', 'Relation']	Relation
361	i will attempt to prove that the reason for an abundance of greenhouse gases in the atmosphere increased global temperatures is a result of human actions	['Relation', 'NoRelation', 'Relation']	Relation
362	i will attempt to prove that the reason for an abundance of greenhouse gases in too much heat increased global temperatures is a result of human actions	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
364	humanity 's makes up approximately 3 % carbon dioxide gasses	['Relation', 'Relation', 'Relation']	Relation
372	laws are passed to reduce human green house gas emissions	['Relation', 'Relation', 'Relation']	Relation
374	humans have increased the amount of carbon dioxide	['Relation', 'Relation', 'Relation']	Relation
384	humans are able to create efficient carbon filters to decrease the amount of pollution	['Relation', 'Relation', 'Relation']	Relation
386	i will attempt to prove that the reason for an abundance of greenhouse gases in especially carbon dioxide increased global temperatures is a result of human actions	['NoRelation', 'Relation', 'Relation']	Relation
390	less than 2/1 ,000 of all co2 is produced by human activity more stuff	['Relation', 'Relation', 'Relation']	Relation
392	humans also give off many other emissions	['Relation', 'Relation', 'NoRelation']	Relation
398	humans are the greatest contributers to co2 output	['Relation', 'Relation', 'Relation']	Relation
399	manure storage systems represent a concern to air quality due to the potential impacts of methane on environmental quality , human health , and wellbeing swine	['Relation', 'Relation', 'Relation']	Relation
408	humans are responsible for much of co2 generation	['Relation', 'Relation', 'Relation']	Relation
418	cooling are caused by fluctuations in the sun 's heat ( solar forcing ) , not by the minor greenhouse effect of human produced gases such as co2 and methane	['Relation', 'Relation', 'Relation']	Relation
419	cooling down the earth 's by reducing the co2 emissions is a false statement because the earth 's will continue to heat via the earth 's natural cycles which we as humans would be wrong to alter	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
435	( 5 ) secondly are human emissions of carbon dioxide	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
474	humans are producing 30 billion tons of co2 a year	['Relation', 'Relation', 'Relation']	Relation
481	human emissions relate to increases in the co2 level	['Relation', 'Relation', 'Relation']	Relation
484	human emissions of greenhouse gases are expected instead to quadruple in the next hundred years	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
495	all the co2 was emitted by humans in the course of a year	['Relation', 'NoRelation', 'NoRelation']	NoRelation
523	co2 is emitted by humans	['Relation', 'Relation', 'Relation']	Relation
534	there is no convincing scientific evidence that human release of methane is causing or will cause catastrophic heating of the earth 's atmosphere and disruption of the earth the oregon petition states	['NoRelation', 'Relation', 'NoRelation']	NoRelation
538	humans have increased the concentration of that carbon dioxide a heat trapping green house gas	['Relation', 'Relation', 'Relation']	Relation
541	raising animals humanely can use less feed reducing costs and improving the soil greenhouse gas emissions are often reduced when animals are healthy and have good welfare	['Relation', 'Relation', 'Relation']	Relation
542	these emissions account for damaging human lungs	['Relation', 'Relation', 'Relation']	Relation
557	in conclusion , co2 is emitted by humans ''	['Relation', 'Relation', 'Relation']	Relation
563	human produced co2 is warming the earth , not natural co2 released from the ocean and other carbon sinks ''	['Relation', 'Relation', 'Relation']	Relation
570	humans do contribute to methane in the atmosphere	['Relation', 'Relation', 'Relation']	Relation
576	human related emissions are responsible for the increase ''	['NoisySentence', 'Relation', 'Relation']	Relation
582	1 ] , human co2 accounts for about 3 % to 8 % of the human effect on global warming	['Relation', 'Relation', 'Relation']	Relation
591	human sources of co2 amount to just 3 % of natural emissions	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
592	further independent evidence that humans are raising co2 levels comes from measurements of carbon	['Relation', 'Relation', 'Relation']	Relation
593	gas greenhouse effect human effectwater vapor % % carbon dioxide % % methane % nitrous oxide % % misc % % total 100 % %	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
594	this unprecedented increase in atmospheric carbon dioxide can be attributed almost entirely to human activity	['Relation', 'NoRelation', 'Relation']	Relation
595	human releases of co2 can not cause climate change	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
600	this means that carbon dioxide is causing global warming and that carbon dioxide is once again human beings fault due to the fact that we are the ones	['Relation', 'Relation', 'Relation']	Relation
606	humans do increase the concentration of co2	['Relation', 'Relation', 'Relation']	Relation
615	this is to show humans make most of atmospheric co2	['Relation', 'Relation', 'NoRelation']	Relation
627	greenhouse gas forcing has been the dominant cause of the observed global warming over the past 50 years	['Relation', 'Relation', 'Relation']	Relation
628	carbon dioxide emissions therefore are the most important cause of global warming	['Relation', 'Relation', 'Relation']	Relation
629	proof of co2 caused global warming	['Relation', 'Relation', 'NoRelation']	Relation
646	greenhouse gases are proven to be the largest contributor to global warming	['Relation', 'Relation', 'Relation']	Relation
649	greenhouse gas increases explain most of the global warming	['Relation', 'Relation', 'Relation']	Relation
653	greenhouse gases are required to promote the natural occurence of global warming	['Relation', 'Relation', 'Relation']	Relation
655	globally in phase warming was driven by increasing co2 concentrations	['Relation', 'Relation', 'Relation']	Relation
656	plants with improved nitrous fixation are forming , which has 296 times the impact of co2 on global warming and lasts much longer in the atmosphere , as well as impacting rivers , lakes and oceans	['Relation', 'NoRelation', 'NoRelation']	NoRelation
666	methane gas makes up 7 % of green house gasses responsible for global warming	['Relation', 'Relation', 'Relation']	Relation
675	all co2 preceded global warming at the end of the ice age	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
682	methane and nitrous oxide are major contributors to global warming	['Relation', 'Relation', 'Relation']	Relation
683	all plans to cut future emissions will not help actually reverse the current trajectory of global warming	['Relation', 'NoRelation', 'NoRelation']	NoRelation
695	although fluorinated gasesaccounted for only 2 percent of all greenhouse gas emissions in 2008 , only 2 percent of all greenhouse gas emissions areimportant because only 2 percent of all greenhouse gas emissions have extremely high global warming potential values andlong atmospheric because of reduced emissionsfrom landfills and coal mines , declined by 1 percent	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
703	just how much the total greenhouse effect affects global warming	['NoRelation', 'Relation', 'NoRelation']	NoRelation
705	all the main solutions to global warming entail cutting greenhouse gas emissions	['Relation', 'Relation', 'NoRelation']	Relation
715	other factors besides atmospheric carbon influence global warming	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
719	half of global warming were due to co2	['Relation', 'Relation', 'Relation']	Relation
728	percentage of global warming is caused by co2 gases even ballpark	['Relation', 'NoRelation', 'Relation']	Relation
730	percentage of global warming is caused by co2 my explained how	['NoisySentence', 'Relation', 'Relation']	Relation
739	no facts link the concentrations of atmospheric carbon dioxide with imminent and catastrophic global warming	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
745	not to mention that methane from cow flatulence partially contributes to global warming	['Relation', 'Relation', 'Relation']	Relation
747	now ) my opponent then states that co2 essentially acts as an amplifier for the global warming effects making the effects even worse	['NoisySentence', 'NoRelation', 'Relation']	NoAgreement
766	co2 is the driving factor behind global warming	['Relation', 'Relation', 'Relation']	Relation
768	co2 is still one of the main causes of global warming	['Relation', 'NoisySentence', 'Relation']	Relation
772	therefore co2 must cause global warming today	['Relation', 'Relation', 'Relation']	Relation
776	co2 is directly responsible for global warming today	['Relation', 'Relation', 'Relation']	Relation
783	this is to stop global warming our need to lower ours ' greenhouse gas emissions by 80 % and to do this our need to have new laws and restrictions along with just day to day tasks to help stop global warming	['NoRelation', 'Relation', 'NoRelation']	NoRelation
794	this is for tougher emission standards and it has the potential for a great impact on the environment or slow down global warming 5	['Relation', 'NoRelation', 'NoRelation']	NoRelation
807	co2 is 9 to 26 % of global warming	['NoRelation', 'Relation', 'NoRelation']	NoRelation
824	i will prove the affects of global warming and co2	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
825	a bill has been created to combat global warming and to lower the dangerous levels of co2	['Relation', 'Relation', 'Relation']	Relation
827	the total anthropogenic carbon dioxide emission is one of the largest contributors of global warming or climate change	['Relation', 'Relation', 'Relation']	Relation
844	[ source : then , to go back and compare the temperature since the industrial revolution to before the industrial revolution [ source : you can see industry ( made by man ) is a huge contribution to global warming , and polluting of co2	['Relation', 'Relation', 'Relation']	Relation
852	a ) global warming myth ( by carter ) in response to he 's greenhouse gases	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
856	this is to the grid to reduce their emission rates and slow down global warming something	['NoisySentence', 'Relation', 'NoRelation']	NoAgreement
858	coal is a major environmental hazard both on the local level and on the global level in the context of global warming ( coal is one of the worst greenhouse gas emitters )	['NoRelation', 'NoisySentence', 'Relation']	NoAgreement
864	what me can and have proven is that co2 and other ghgs have been a factor in the majority of climate shifts , and that modern global warming can be explained only by the increase of atmospheric co2 due to anthropogenic , let 's examine	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
865	what is unproved and unlikely is the claim that 75 % or more of global warming is due to anthropogenic co2	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
866	electric cars is very important to lowering emissions and fighting global warming	['Relation', 'Relation', 'Relation']	Relation
876	we all agree that more greenhouse gases will make the earth also agree that trying to stop global warming will damage the leaves one question for you the judge to determine	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
880	even if we did that , it would have almost no effect on global warming , because the us currently produces only 18 % of the total co2 , and that percentage is dropping rapidly as the developing world consumes more energy	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
885	contrary to popular belief even if we were to reduce or emissions completely and started a massive carbon capture program , we would still not be able to escape global warming 's effects	['NoisySentence', 'NoRelation', 'NoisySentence']	NoisySentence
896	the theory of global warming assumes that co2 is an atmospheric greenhouse gas and as co2 increases temperatures rise	['Relation', 'Relation', 'Relation']	Relation
900	yes , our factory emissions are accelerating global warming	['Relation', 'Relation', 'Relation']	Relation
902	yes , our car emissions are accelerating global warming	['Relation', 'Relation', 'Relation']	Relation
903	definitions : co2 theory : greenhouse effect false : not real case : temperature record one central problem for those who promote the idea of man made global warming is the earth 's temperature record on almost all time scales	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
907	doesnt cremation increase our carbon footprint or increase global warming ( i am aware that global warming is just a theory )	['Relation', 'Relation', 'Relation']	Relation
915	this was to be about man made global warming , so i 'll show why my opponent 's logic is flawed here too ) i have proven that co2 does absorb heat , thus keeping in the earth and heating the earth ) co2 levels have fluctuated in the past naturally , brought about by things such as an increase in volcanic activity	['Relation', 'Relation', 'Relation']	Relation
928	this phenomenon global warming are convinced that the earth will simply get too hot if something is n't done to stop the build up of carbon dioxide	['Relation', 'Relation', 'Relation']	Relation
930	this methane is responsible for nearly as much global warming	['Relation', 'Relation', 'Relation']	Relation
931	24 times more potent a greenhouse gas than carbon dioxide are the culprit normally at the center of global warming discussions	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
935	fear of dangerous global warming from man made co2 is dissipating with neglect of benefits of warming	['Relation', 'NoRelation', 'Relation']	Relation
936	fear of dangerous global warming from man made co2 is dissipating with more recent scientific evidence and exposure of much bias	['Relation', 'Relation', 'Relation']	Relation
937	fear of dangerous global warming from man made co2 is dissipating with exaggeration of dangers	['Relation', 'NoRelation', 'Relation']	Relation
953	* green energy , renewable energies and carbon neutral energies also needed to prevent and slow the progress of global warming and climate change	['Relation', 'Relation', 'Relation']	Relation
974	global warming is explained aptly by the increase in co2 into the atmosphere	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
977	important carbon sinks are necessary in reducing atmospheric co2 levels and fighting global warming	['Relation', 'Relation', 'Relation']	Relation
980	surface measurements confirm this , observing more downward infrared radiation a closer look at more downward infrared radiation finds more heat returning at co2 wavelengths , leading to the conclusion that this experimental data should effectively end the argument by skeptics that no experimental evidence exists for the connection between greenhouse gas increases in the earth 's atmosphere and global warming , 19 , 20 7	['NoisySentence', 'NoisySentence', 'NoRelation']	NoisySentence
983	a significant impact on the increase of carbon dioxide emissions are just the reasons for why man is one of the causes for global warming	['NoisySentence', 'Relation', 'NoisySentence']	NoisySentence
984	in the mars data revealed that the carbon dioxide ice caps near mars 's south pole had been diminishing for three summers in a abdussamatov , head of space research at petersburg 's pulkovo astronomical observatory in russia , says the mars data is evidence that this century 's global warming is being caused by changes in the sun ''	['Relation', 'Relation', 'Relation']	Relation
987	specifically ( global warming is the unusually rapid increase in earth 's average surface temperature over the past century primarily due to the greenhouse gases released as people burn fossil fuels	['Relation', 'Relation', 'Relation']	Relation
988	the basic physics of carbon dioxide only accounts for about a third of the global warming the basic physics of carbon dioxide is claimed to cause , and that 's not enough to cause a climate crisis	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
1000	global warming is due to co2	['Relation', 'Relation', 'Relation']	Relation
1003	the co2 emission alone from nature doesnt cause global warming	['NoRelation', 'Relation', 'NoRelation']	NoRelation
1010	global warming is driven by the release of carbon dioxide and other greenhouse gases	['Relation', 'Relation', 'Relation']	Relation
1017	global warming states that due to greenhouse gases , like a greenhouse that grow plants in , heat from the sun is captured and kept inside the atmosphere	['Relation', 'Relation', 'NoisySentence']	Relation
1030	global warming were greenhouse gases	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
1036	global warming results that not from the emission of greenhouse gases into the lower atmosphere , but from an unusually high level of solar radiation almost throughout the last century growth in its intensity	['Relation', 'Relation', 'NoisySentence']	Relation
1037	global warming results that not from the emission of greenhouse gases into the lower atmosphere , but from an unusually high level of a lengthy almost throughout the last century growth in its intensity	['NoRelation', 'NoRelation', 'Relation']	NoRelation
1049	so co2 emission is directly responsible for global warming	['Relation', 'Relation', 'Relation']	Relation
1070	a fair carbon tax , being the taxation system based on co2 emissions , is certainly necessary to reduce global warming	['Relation', 'Relation', 'Relation']	Relation
1075	global warming has produced more co2 , rather than more co2 producing global warming ''	['Relation', 'Relation', 'Relation']	Relation
1082	the only way to combat global warming is to reduce greenhouse gas emissions	['Relation', 'Relation', 'Relation']	Relation
1084	global warming does n't dominate climate greenhouse gases cause warming	['NoRelation', 'Relation', 'Relation']	Relation
1096	the primary argument that global warming skeptics present for the increase in carbon dioxide levels is	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
1117	global warming are all greenhouse gases	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
1132	the greenhouse effect was relevant to global warming	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
1136	the greenhouse effect has on global warming	['NoisySentence', 'NoRelation', 'NoisySentence']	NoisySentence
1141	the government slowly bonding to fight back against carbon emissions is so slow that by the time the have bonded and is ready to seriously stop global warming , the earth would 've become the sun	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
1148	humans can fix global warming	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
1150	because ) , the point of the consensus view of global warming caused by humans in these scientific articles can flow through	['Relation', 'NoRelation', 'Relation']	Relation
1153	humans have some blame for global warming	['Relation', 'NoRelation', 'Relation']	Relation
1165	humans did greatly influence global warming	['Relation', 'NoRelation', 'Relation']	Relation
1168	humans have been a significant , if not the main cause of the modern global warming	['Relation', 'Relation', 'Relation']	Relation
1201	global warming is caused by all humans	['Relation', 'Relation', 'Relation']	Relation
1222	con has yet to prove that this disproves human induced global warming , global warming leads to a page called what nasa does	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
1223	every article either supported the human caused global warming consensus	['NoisySentence', 'Relation', 'NoRelation']	NoAgreement
1224	every article either did not comment on the human caused global warming consensus	['Relation', 'NoRelation', 'NoRelation']	NoRelation
1239	coal mining and energy use ( and some global warming ) coal mining is a fact that humans use other natural resources for energy , and other natural resources may cause harm to the environment , but that does not change the fact that there are other resources for energy	['Relation', 'Relation', 'NoRelation']	Relation
1248	global warming is a human creation	['Relation', 'NoRelation', 'Relation']	Relation
1256	global warming does exist ( and humans contribute to the problem )	['Relation', 'Relation', 'Relation']	Relation
1259	global warming a human cause	['Relation', 'NoisySentence', 'NoisySentence']	NoisySentence
1263	global warming exists human induced global warming	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
1273	humans are a huge factor in global warming ''	['Relation', 'Relation', 'Relation']	Relation
1275	humans 're causing global warming and blanket countries like india and china	['Relation', 'Relation', 'Relation']	Relation
1278	humanity is going to destroy humanity ( global warming , war )	['Relation', 'Relation', 'Relation']	Relation
1283	human survival is ensured by fighting global warming , not moonbase	['Relation', 'Relation', 'Relation']	Relation
1289	humans are highly responsible for the creation of global warming	['Relation', 'Relation', 'Relation']	Relation
1294	humans are the main cause of global warming , my opponent 's is missing the connection	['Relation', 'Relation', 'Relation']	Relation
1296	humans are the cause/have a big effect on global warming	['Relation', 'Relation', 'Relation']	Relation
1298	humans are the cause global warming	['Relation', 'Relation', 'Relation']	Relation
1299	humans are responsible for global warming	['Relation', 'Relation', 'Relation']	Relation
1306	humans are the only source of global warming trends	['Relation', 'Relation', 'Relation']	Relation
1319	gm foods are safe for human consumption , reduce pesticide , increase yield and decrease cost , combat global warming an diseases	['Relation', 'Relation', 'Relation']	Relation
1320	global warming would have a great many adverse affects on humans	['Relation', 'Relation', 'Relation']	Relation
1326	global warming was affected by human influence	['Relation', 'NoisySentence', 'Relation']	Relation
1328	human activity causing global warming is much greater than 57 % degrees	['Relation', 'Relation', 'Relation']	Relation
1331	human activity has a significant impact on global warming trends	['Relation', 'Relation', 'NoRelation']	Relation
1343	human activity is responsible for today 's global warming trend [ 12 ]	['Relation', 'NoisySentence', 'Relation']	Relation
1346	human activity is an addition to increased global warming / climate change	['Relation', 'Relation', 'Relation']	Relation
1361	show proof humans are one of the leading causes of global warming	['Relation', 'NoisySentence', 'NoRelation']	NoAgreement
1364	scientists have no proof that humans are responsible for a significant amount of global warming	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
1377	such rapid global warming leaves human activities	['NoRelation', 'NoisySentence', 'Relation']	NoAgreement
1392	the current world situation of overpopulation and global warming may require a decrease of human childbirth ( which is happening )	['Relation', 'Relation', 'NoRelation']	Relation
1396	the biggest threat to the survival of humanity is not global warming or one of the biggest threat to the survival of humanity many causes animal agriculture	['NoisySentence', 'NoisySentence', 'NoRelation']	NoisySentence
1399	that humans are the main cause of global warming conclusion	['Relation', 'Relation', 'Relation']	Relation
1401	that global warming is a result of human activities	['Relation', 'Relation', 'Relation']	Relation
1403	that anyone does not believe in human caused global warming	['Relation', 'NoRelation', 'Relation']	Relation
1404	a scientist believes in human caused global warming	['Relation', 'Relation', 'Relation']	Relation
1406	problems like the energy crisis our are faced with , which ours ' children will have to fix , global warming , space exploration , things of that nature which hinder humanity on this rock	['NoRelation', 'Relation', 'NoRelation']	NoRelation
1430	not evidence that most of atmospheric global warming is caused by humans	['Relation', 'Relation', 'NoRelation']	Relation
1434	perhaps global warming 's a matter of pride global warming 's human nature to want to be right	['NoisySentence', 'NoisySentence', 'NoisySentence']	NoisySentence
1442	opinion ( devils advocate ) : global warming is driven by certain factors , and currently certain factors are human related ones	['Relation', 'Relation', 'Relation']	Relation
1445	only a tiny fraction rejects human caused global warming	['Relation', 'Relation', 'NoRelation']	Relation
